Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
0.196469,0.164246,0.0895103,0.658977,0.404193,0.60381,-0.0810766,0.315162,0.0111371,0.788102,0.216378,0.0360531,0.658977,0.152787,0.056682,-0.0810766,0.0522011,0.0113025,0.788102,0.49969,0.490166,0.196469,0.312102,0.15811,-0.0810766,0.517135,0.0373586,0.788102,0.428081,0.194664,0.196469,0.573245,0.225905,0.658977,0.398847,0.185029
0.210593,0.1856,0.0919626,0.712728,0.45231,0.653387,-0.037518,0.294893,0.0213337,0.873354,0.214965,0.0368797,0.712728,0.157695,0.0592078,-0.037518,0.0582788,0.0149627,0.873354,0.534175,0.539409,0.210593,0.351191,0.165554,-0.037518,0.51678,0.0440795,0.873354,0.432129,0.202297,0.210593,0.567086,0.234035,0.712728,0.400852,0.190095
0.224717,0.206223,0.0944149,0.766479,0.503201,0.702965,0.00604057,0.277072,0.0315302,0.958607,0.213551,0.0377063,0.766479,0.161785,0.0617337,0.00604057,0.064819,0.018623,0.958607,0.56866,0.588653,0.224717,0.389234,0.172997,0.00604057,0.511766,0.0508005,0.958607,0.436177,0.20993,0.224717,0.559405,0.242164,0.766479,0.40175,0.19516
0.238841,0.224881,0.0968672,0.82023,0.554092,0.752542,0.0495992,0.259508,0.0417267,1.04386,0.211636,0.0385328,0.82023,0.165875,0.0642595,0.0495992,0.0714078,0.0222832,1.04386,0.602978,0.637896,0.238841,0.42401,0.180441,0.0495992,0.506262,0.0575214,1.04386,0.439674,0.217564,0.238841,0.548605,0.250294,0.82023,0.402648,0.200226
0.252965,0.24228,0.0993196,0.873981,0.604983,0.802119,0.0931577,0.24283,0.0519233,1.12911,0.207085,0.0393594,0.873981,0.169965,0.0667854,0.0931577,0.0781245,0.0259434,1.12911,0.636419,0.68714,0.252965,0.456622,0.187884,0.0931577,0.499605,0.0642424,1.12911,0.440281,0.225197,0.252965,0.535957,0.258424,0.873981,0.403545,0.205292
0.267089,0.259679,0.101772,0.927732,0.655874,0.851696,0.136716,0.229985,0.0621198,1.21436,0.202024,0.0401859,0.927732,0.174055,0.0693112,0.136716,0.085395,0.0296037,1.21436,0.669851,0.736383,0.267089,0.489233,0.195328,0.136716,0.487956,0.0709633,1.21436,0.440178,0.23283,0.267089,0.523309,0.266553,0.927732,0.404443,0.210357
0.281213,0.277078,0.104224,0.981484,0.706765,0.901273,0.180275,0.217139,0.0723163,1.29962,0.195014,0.0410125,0.981484,0.178145,0.0718371,0.180275,0.0926655,0.0332639,1.29962,0.703246,0.785627,0.281213,0.521845,0.202771,0.180275,0.476308,0.0776843,1.29962,0.437377,0.240464,0.281213,0.510661,0.274683,0.981484,0.405341,0.215423
0.295336,0.294477,0.106676,1.03523,0.757656,0.95085,0.223834,0.204294,0.0825129,1.38487,0.188004,0.041839,1.03523,0.182235,0.0743629,0.223834,0.099936,0.0369241,1.38487,0.736642,0.83487,0.295336,0.554457,0.210214,0.223834,0.464659,0.0844053,1.38487,0.434575,0.248097,0.295336,0.498013,0.282813,1.03523,0.406239,0.220488
0.30946,0.309391,0.109129,1.08899,0.808546,1.00043,0.267392,0.191449,0.0927094,1.47012,0.180158,0.0426656,1.08899,0.186325,0.0768888,0.267392,0.107207,0.0405844,1.47012,0.770203,0.884114,0.30946,0.582119,0.217658,0.267392,0.453011,0.0911262,1.47012,0.430447,0.255731,0.30946,0.483187,0.290942,1.08899,0.407137,0.225554
0.323584,0.320635,0.111581,1.14274,0.859437,1.05,0.310951,0.182035,0.102906,1.55538,0.161724,0.0434922,1.14274,0.190415,0.0794146,0.310951,0.114912,0.0442446,1.55538,0.821223,0.933357,0.323584,0.602469,0.225101,0.310951,0.437712,0.0978472,1.55538,0.395441,0.263364,0.323584,0.465145,0.299072,1.14274,0.408035,0.230619
